"tSNE_1"	"tSNE_2"
"TTC20-1202"	45.0875963983918	2.45223314499992
"TTC22-1202"	46.2133507068942	4.34826174835076
"TTC23-1202"	46.381781712184	3.54857488560747
"TTC25-1202"	46.3549041332919	2.54513202971522
"TTC26-1202"	46.1434945804304	2.95116261865707
"TTC27-0205"	-6.10638675092341	-21.4964841993299
"TTC28-0205"	-8.54174631938254	-11.9230216235699
"TTC28-1202"	46.3512698199005	3.80966229163685
"TTC31-1202"	46.5196932883646	2.40051425576902
"TTC3-1202"	45.498048171292	2.96258049005577
"TTC32-1202"	46.3084125941682	2.3878523276123
"TTC33-1202"	46.0507622742177	2.69557989098078
"TTC34-1202"	45.9981100955547	2.98184999048269
"TTC35-0205"	-4.65813023572284	-29.0498521493844
"TTC35-1202"	46.8890125670303	3.26781355589243
"TTC36-0205"	3.09806724636555	-10.1065219227568
"TTC36-1202"	46.1830139538818	2.68392363500196
"TTC37-0205"	2.90649104806123	-10.1000918132724
"TTC37-1202"	43.3035388437429	3.67842596559504
"TTC39-1202"	45.6746891911428	2.48038364997829
"TTC40-1202"	46.5506647567131	2.91098786692317
"TTC41-1202"	46.3814314772249	3.8439029433265
"TTC42-1202"	44.4390283895682	5.10664923662286
"TTC43-1202"	46.4028544901356	3.03999005863074
"TTC44-1202"	44.8523184330461	2.59656444728419
"TTC45-1202"	46.532517736116	2.86503136496756
"TTC46-1202"	46.0440812399048	3.00735227214717
"TTC47-1202"	46.3776044633742	3.83839807684602
"TTC48-1202"	46.4879572786364	2.13642609618038
"TTC6-1202"	45.7083410393091	2.78471093264984
"TTH11-0205"	7.49111256665083	-5.5284374165686
"TTH19"	44.3402914578073	5.55619309137041
"TTH30-0205"	7.06380368977733	-6.54863272155295
"TTH38-0205"	9.00431566175713	-2.21845478960528
"TTH66-0205"	6.72548954663555	-6.48926089088452
"TTH8-0205"	7.89942457416111	-2.34949954000992
"TTH91-0205"	10.3757548705136	1.76444269296249
"TTS10-0205"	35.1528980358907	-10.6848258420396
"TTS1-0205"	27.2304166301412	-5.89878405307686
"TTS11-1202"	44.4309406727624	3.5401506711381
