GeneName	tSNE_1	tSNE_2	x	SELL_Opacity	SELL_Expr	SELL_Color
JTH-74-0508	1.16213740224221	0.433546941150283	6	0.10139639832864705	5.68365997212113	#ffffff
TTC40-0508	34.4416730695193	-36.6601176168235	9	0.1	0.0	#ffffff
PTC170-0322	-17.8574089052368	2.58310884398803	0	0.1	0.0	#ffffff
TTH116-0322	-4.76531077438374	-26.8082073929317	7	0.1	0.0	#ffffff
TTR229-0407	-21.2743023344738	18.0169508751659	0	0.1	0.0	#ffffff
TTC108-0322	-37.4515705137499	16.2727830846436	5	0.1	0.0	#ffffff
TTC93-0407	-38.1724327995659	-14.8360140896434	0	0.10036904064490457	1.50207967060667	#ffffff
TTH61-1116	27.9766554277855	-20.2862188800563	8	0.10054336057386236	2.21160157580711	#ffffff
NTR39-0407	-9.55917738077587	37.714458861739	1	0.8622434791375961	3102.50496760639	#ff2828
TTS5-1202	47.142558127091	10.8942428253253	10	0.16835234600921523	278.209651961956	#ffecec
TTH2-8-0508	1.0762355584359	-2.48791896934692	6	0.1	0.0	#ffffff
NTC2-56-0508	4.37322107707402	-10.4484745464658	5	0.1	0.0	#ffffff
TTC76-1116	7.5305125509002	-38.8632853774319	11	0.1	0.0	#ffffff
NTR14-0407	4.45576353357979	11.2588604026845	0	0.10092827604956178	3.77829543170886	#ffffff
PTH6-1116	23.736730836797	25.1654823180399	3	0.24213264951650001	578.512330053529	#ffd7d7
NTH135-0322	-19.4969818116629	28.1056090112391	0	0.1	0.0	#ffffff
NTR96-0407	-27.2514242850558	15.9117497974513	0	0.10055963144845613	2.27782774977397	#ffffff
TTC36-0407	-42.1947540675893	5.88065222773939	0	0.1	0.0	#ffffff
PTH29-0407	-4.39627486072542	40.4678819331514	1	0.8263097843646775	2956.24662681538	#ff3232
TTS141-0205	33.2200606765225	-5.69305225886967	4	0.1773814998038396	314.960369111807	#ffeaea
JTH-81-0508	1.46617765404107	-2.58226818890624	6	0.1	0.0	#ffffff
NTC6-0407	-31.0103268676214	-11.7067455940168	0	0.1	0.0	#ffffff
TTR90-0322	28.1303975972944	-26.8286367476336	8	0.327722721681459	926.88346255572	#ffbfbf
TTH184-0322	4.50941875598348	38.7196923217741	1	0.4346850439847101	1362.24453205022	#ffa1a1
NTC2-17-0508	2.86080247021789	-15.44241566004	5	0.1	0.0	#ffffff
NTC52-0407	-8.70821014868655	-21.8799367570975	7	0.1	0.0	#ffffff
PTS3-42-0508	11.9000954260591	27.032076790351	4	0.2947700495730426	792.758564527158	#ffc8c8
PTC146-1116	-42.7018453355852	-13.3372502850067	2	0.10068536091677385	2.7895753877749	#ffffff
TTH142-0508	30.5757823803013	-5.26824215587085	4	0.7997565003928583	2848.16869937671	#ff3939
PTH3-53-0508	16.6359095112374	12.2881206576951	3	0.10617927670332769	25.1510668087039	#fffefe
PTR70-0322	-6.6653077209707	35.9238172135348	1	0.4692804424672622	1503.05570142864	#ff9797
TTH72-1116	-19.2153552359338	18.8687900470271	0	0.1104208533691958	42.415252120237	#fffdfd
TTC28-0322	13.113269167494	-32.3891752335711	11	0.1	0.0	#ffffff
