GeneName	tSNE_1	tSNE_2	x	CD8A_Opacity	CD8A_Expr	CD8A_Color
NTC2-28-0508	-1.4255372108523	-24.3537301053638	2	0.10113706178786713	3.24469960047353	#ffffff
TTR174-0508	30.9300664460989	-2.16936727222884	4	0.1	0.0	#ffffff
TTR232-0407	-24.9729964923679	6.61740536892227	0	0.1	0.0	#ffffff
NTH43-1116	-20.8803150893423	12.8765867256712	0	0.1	0.0	#ffffff
PTH87-0205	23.5301926262801	18.5106618105637	3	0.1	0.0	#ffffff
PTS42-0205	21.6992319322408	17.748664204954	3	0.1	0.0	#ffffff
PTC129-0322	-17.5726454751577	2.85770691012369	5	0.5051738464310174	1156.19699093315	#ff8d8d
TTR25-1116	19.8237140993004	-36.5494223315428	9	0.1	0.0	#ffffff
NTR77-0407	20.1423052482865	-33.9534720121727	8	0.1	0.0	#ffffff
PTC142-0205	-35.1280996018437	-22.8521984798954	2	1.0	4398.48439484967	#ff0000
TTC2-45-0508	-7.24443084611427	-31.4167701301864	7	0.6858661696643488	1671.81743940814	#ff5a5a
NTC40-0407	1.02266418750566	-9.40684283034431	5	0.8242240432696508	2066.63304397751	#ff3232
TTC25-0322	9.52011365594848	-36.2092191560146	11	0.9992187940800621	2565.99499958819	#ff0101
TTH48-1116	-3.7579705167352	14.8555289620134	1	0.1	0.0	#ffffff
PTC39-0322	-34.4135391297713	-22.6725630483131	2	0.5989295490849954	1423.73662175137	#ff7272
TTC1-0322	-42.6551184607655	14.4086910008096	5	0.37570528741487574	786.747778765406	#ffb1b1
TTR30-0322	25.0911585010554	-23.0278567513955	8	0.1	0.0	#ffffff
PTC120-1116	-43.1439842454896	-18.7592042569662	2	0.9097155834377785	2310.59020548561	#ff1a1a
NTC115-1116	-26.5678849117842	-14.4760166665427	0	0.8705898039447143	2198.94156647234	#ff2525
PTS3-66-0508	31.4315647907895	25.2655877509152	3	0.1	0.0	#ffffff
PTR46-0407	9.11169569673157	26.3574728860385	4	0.10041039428251441	1.17109393589675	#ffffff
TTC103-0407	-7.07211309361205	-28.2935394985462	7	0.47300833271311027	1064.41004441612	#ff9696
TTC108-0205	0.246248927643429	-28.3801057196138	7	0.5339021085274033	1238.17545643175	#ff8585
TTR53-1116	29.9915370529438	2.03886979912741	4	0.1	0.0	#ffffff
JTC-31-0508	-27.1724465324341	-35.0199658821336	2	0.7117733194900745	1745.7456283473	#ff5252
NTR3-1116	-28.965441240472	14.7213628628822	0	0.1	0.0	#ffffff
TTC176-0407	1.86323574099092	-11.4186293794709	5	0.2598675414213679	456.195215874418	#ffd2d2
PTC14-0322	-40.9243974994077	-11.9801237327876	2	0.810400653143205	2027.1868600506	#ff3636
TTH23-1116	22.5816295749335	-13.4793617846559	0	0.10233819027486976	6.67221881137343	#ffffff
PTC1-1-0508	33.7475258658424	17.107168192923	3	0.24214243606281832	405.615165705713	#ffd7d7
NTR45-1116	16.814040956886	-18.0761039496274	8	0.1	0.0	#ffffff
PTS133-0205	26.2102468312256	14.3752365819865	3	0.1	0.0	#ffffff
TTH58-0205	10.6989339342889	-3.15819130524558	6	0.1	0.0	#ffffff
TTH10-1116	12.8547388167682	-16.1705088659875	0	0.10100453241019546	2.86651608980526	#ffffff
TTR155-1116	21.923050411487	-28.041147746236	8	0.10059252509632101	1.69081923587422	#ffffff
PTR98-0322	4.62257655798455	28.9665613584491	1	0.1	0.0	#ffffff
TTC98-0407	-16.6088454511646	-29.3808072424114	2	0.297986324201435	564.970306706574	#ffc7c7
PTC183-0322	16.4884211223153	34.0411555126671	1	0.2711653082198381	488.43432531279	#ffcfcf
TTH13-0322	-9.8541287495822	-4.17695032595692	6	0.1	0.0	#ffffff
TTC2-65-0508	24.8966527994523	20.3044391387737	3	0.10045717088713313	1.30457483547263	#ffffff
TTR56-0322	22.1225888368883	-24.6572953448726	8	0.1	0.0	#ffffff
TTR97-0407	-13.6503004051129	24.475750437161	0	0.1	0.0	#ffffff
PTC149-0322	-27.3385719979937	2.28629862993235	5	0.43813187242124685	964.887188242042	#ffa0a0
PTH159-0322	6.21632225266297	44.13892624108	1	0.1	0.0	#ffffff
TTH21-0407	-37.5779727911564	19.007485973593	0	0.1	0.0	#ffffff
TTH187-0508	20.4997338153896	-2.83908826037277	4	0.1	0.0	#ffffff
NTR40-1116	16.8855970415545	-18.8856606707802	8	0.1	0.0	#ffffff
TTH146-0407	-26.0719823698057	17.5072120521924	0	0.1	0.0	#ffffff
TTS1-0205	32.6215688947853	-4.82424913687807	4	0.1	0.0	#ffffff
TTR113-0322	28.5625625528878	-17.6376832608061	8	0.1	0.0	#ffffff
NTR51-0407	2.38432504903199	29.0061304633426	1	0.1	0.0	#ffffff
TTC128-0205	1.53810941651583	-27.5976711732015	7	0.3472867133619069	705.653033642839	#ffb9b9
TTC125-1116	9.73432108530907	-38.5796307728667	11	1.0	4790.52605289518	#ff0000
TTS1-88-0508	44.70114691492	-15.2078608818446	4	0.1	0.0	#ffffff
PTH30-0407	0.0134117457379788	37.4835829362243	1	0.1	0.0	#ffffff
PTH3-19-0508	27.4510844562726	28.926268523047	3	0.1	0.0	#ffffff
PTC4-0205	-16.3352011835193	-25.9034797476068	2	0.5558168057312719	1300.71085250312	#ff7e7e
NTH123-0322	-8.3408852307031	26.7669203693822	0	0.1	0.0	#ffffff
PTR3-0407	-6.36372280668886	40.4890207237983	1	0.10080504935320385	2.29727473262625	#ffffff
PTS3-13-0508	34.5733489099357	24.2934767562793	3	0.1	0.0	#ffffff
NTC2-22-0508	5.21441646498878	-10.4262213186091	5	0.6013095945229868	1430.52827772307	#ff7171
JTS-7-0508	37.8381520167071	-7.77162499018215	4	0.1	0.0	#ffffff
PTH63-0407	-40.2874061504098	-5.18287084812284	2	0.1	0.0	#ffffff
TTC20-0508	-3.5294378557298	-37.2709635823865	7	1.0	3561.96754254992	#ff0000
TTR217-0407	-14.5430932183675	23.2125268593526	0	0.1008540139353658	2.43699920659373	#ffffff
TTH43-1116	12.7921381905201	-21.0127591925092	0	0.10120952066727804	3.45146698953189	#ffffff
PTR101-0407	-3.37941238048966	37.0445734940703	1	0.1	0.0	#ffffff
PTC28-0508	-10.6499610200369	-11.1197327282616	2	0.3769762286330812	790.374514363189	#ffb1b1
