GeneName	tSNE_1	tSNE_2	x	GZMK_Opacity	GZMK_Expr	GZMK_Color
TTC185-0322	-36.070265137966	13.8267851968533	5	0.5501161564933343	3262.80790705764	#ff8080
TTH1-6-0508	27.9643470671896	-8.37281404942204	4	0.1	0.0	#ffffff
TTR113-1116	16.750371483109	-17.6426038643953	8	0.10055771865576477	4.04279831703786	#ffffff
PTH151-0322	-1.99019445524557	31.5276244554853	1	0.1	0.0	#ffffff
TTC80-0322	-26.3574956207165	-11.0185039369393	0	0.24086193220170596	1021.08182423785	#ffd8d8
JTH-22-0508	14.5611248223118	-1.7572280445889	6	0.22835210509226023	930.400425181631	#ffdbdb
PTR47-0322	13.0484838084091	26.5294352701697	1	0.1	0.0	#ffffff
NTC86-0407	-14.8992896030839	-25.9646332766534	2	0.10116159182672642	8.42016209003286	#ffffff
TTH69-0407	-39.0120164118433	-5.6855472070541	2	0.1	0.0	#ffffff
TTH4	46.3325481307465	10.627389033658	10	0.1	0.0	#ffffff
NTH2-95-0508	22.4600015737823	11.3843768414678	3	0.1	0.0	#ffffff
NTC116-1116	-35.3885314087262	-16.4045596083737	2	1.0	6751.97235616991	#ff0000
TTH2	46.2240866648205	8.4748677870166	10	0.1	0.0	#ffffff
TTC2-31-0508	-6.0609534848985	-34.8372487498772	7	0.42037965001183886	2322.37221490286	#ffa5a5
NTH36-1116	-38.6756096294059	19.1358346493032	0	0.3278371549729032	1651.54896140262	#ffbfbf
PTH158-0322	2.23649682433659	33.255874862383	1	0.6157159695163485	3738.3286932931	#ff6d6d
TTH8	47.3785309108287	8.10572427521552	10	0.1	0.0	#ffffff
NTR8-0407	-21.0500721789667	18.388206103671	0	0.1015725904939061	11.3994146267808	#ffffff
PTS2-8-0508	26.6783536839668	22.1944530181832	3	0.1	0.0	#ffffff
PTH136-0205	16.0537790565789	11.9245062885019	3	0.38844464836317194	2090.88135551463	#ffaeae
PTC2-79-0508	-20.1524159242	-26.9092855477818	2	0.36579577770269567	1926.70392439853	#ffb4b4
JTH-15-0508	-1.60955467073419	2.64877680221804	6	0.4914973771728163	2837.8913296144	#ff9191
PTH81-0407	-9.41121255114738	39.7692522465044	1	0.10273057632668675	19.7934375405382	#ffffff
TTR28-0322	28.1056569208434	-27.7018231259352	8	0.1	0.0	#ffffff
TTH104-0407	-27.7662342567924	16.1758746542402	0	0.10034124376769343	2.47361230518447	#ffffff
TTH157-0407	-35.503578524287	-0.931982856537089	0	0.6069843484179045	3675.03480359275	#ff7070
TTC2-28-0508	-6.24153907700095	-34.4821059578876	7	0.10044021132479661	3.19100963296337	#ffffff
PTS101-0205	24.9583223046816	28.718130453974	3	0.1	0.0	#ffffff
PTR40-0322	9.88855836928822	28.5065033267639	1	0.1	0.0	#ffffff
TTC114-0407	-9.38135331355182	-25.4949460979659	7	0.22310757250822766	892.383788504302	#ffdddd
