GeneName	tSNE_1	tSNE_2	x	CD44_Opacity	CD44_Expr	CD44_Color
TTR156-1116	20.5194390544342	-22.4362580519883	8	1.0	1165.92618507794	#ff0000
PTS3-12-0508	9.42654002869321	27.5117690485757	4	0.5743145152936417	531.284885554753	#ff7979
PTC25-0407	-24.0832892334212	-27.4790128960496	2	0.2833142608544653	205.332312122737	#ffcccc
PTS33-0205	17.9386858475885	27.2246388488667	3	0.12839085741597106	31.8009104648788	#fff7f7
PTR83-0322	17.0039254107191	-13.1490255096848	1	0.7696997811518402	750.138062641888	#ff4242
TTC2-74-0508	-1.36948489560077	-41.6705623205215	7	0.30897509770422416	234.075296639083	#ffc4c4
TTC84-0508	-1.06608320663863	-38.0203735262001	7	0.25389389687819547	172.378240079559	#ffd4d4
PTC6-0322	-35.8469313578296	-22.2606261996807	2	0.40216802944900376	338.46172058372	#ffaaaa
TTH115-0407	-25.5560992510391	7.77638877799245	0	0.6907177534010849	661.669427967142	#ff5858
TTC2-96-0508	0.757804149217691	-41.1607962969434	7	0.9106671287158571	908.037133200882	#ff1a1a
TTC39-1116	28.3906499446188	-39.8012781459792	9	0.11196999063662558	13.4077176650055	#fffcfc
NTR20-0407	2.0559735910731	19.2997342226131	1	0.38615032729600485	320.520116899216	#ffaeae
TTC17-0508	-3.4648546896088	-45.0133722903542	7	0.5795487991249024	537.147864225205	#ff7878
PTH77-0407	3.75705828519598	46.9019975158467	1	0.10161164739888269	1.80522391000392	#ffffff
TTR152-0407	-39.5588797615666	-26.0687685183312	2	0.29743360691272036	221.14754634559	#ffc8c8
TTS88-0205	34.5635214687918	-10.948918762573	4	0.2262628275030887	141.428376524106	#ffdcdc
TTH132-0407	-4.7413123230172	26.110541939094	1	0.30625388211491256	231.027233241651	#ffc5c5
TTH24-1116	-23.6182017780567	8.49740835756552	0	0.576079117611063	533.26143594491	#ff7979
PTC93-0407	-37.5047348497228	-8.81190943240143	0	0.19271208205734536	103.847818941163	#ffe5e5
NTH2-70-0508	-2.76600661492319	-2.18327623052786	6	1.0	1026.86138374929	#ff0000
TTC59-0322	-23.0348367127604	-13.2151187272919	0	0.5480657425143781	501.883347561866	#ff8181
TTC56-1116	9.19636169249391	-37.2856403868676	11	0.4710352549210979	415.600654400164	#ff9696
TTH107-0205	10.9823480180023	-2.34860933568198	6	0.5498768525581323	503.911991765865	#ff8080
NTR71-1116	2.31567070087109	-1.35471773427776	6	0.5028418207510006	451.227537284758	#ff8d8d
TTS1-91-0508	21.8528179201677	-2.67332495394852	4	0.13559303189893734	39.8681450161116	#fff5f5
PTR81-1116	-6.80184715037339	31.4763933534163	1	0.6961775977330563	667.785059425864	#ff5757
TTH41-1116	-18.7786539199709	18.3721556492069	0	0.40140144055216	337.603055960996	#ffaaaa
JTC-40-0508	-3.00833641587412	-25.3553239318852	7	0.47602965764438865	421.194939613247	#ff9595
TTH44-0322	-13.3680216444538	29.6473069738217	0	0.22584999820506663	140.965961904099	#ffdcdc
TTC109-0205	-22.627231956376	4.76149161329823	0	0.1	0.0	#ffffff
PTH70-0205	24.6897322578632	21.9847627189754	3	0.21710364375397995	131.169074451287	#ffdede
PTH41-0322	-30.0474096827285	3.83461626419109	0	0.6322317263673676	596.15858826635	#ff6969
TTC111-1116	7.26998942952	-37.5581139573531	11	0.1017753650448638	1.98860583909062	#ffffff
JTC-39-0508	-20.8390990663865	-27.9658346282583	2	0.6421007966262183	607.213041996823	#ff6666
NTC2-19-0508	-1.47804549925615	-6.54401002811243	6	0.5632984704441533	518.945693018123	#ff7c7c
TTC76-0322	9.97792042556288	-35.6270991994728	11	0.35147696223981206	281.682100790278	#ffb8b8
NTH8-0322	7.52499082657425	10.0462799853882	6	0.22120567606842648	135.76380579189	#ffdddd
PTH69-0205	29.643703204301	30.4304886012034	3	0.38061510993010783	314.320059279346	#ffb0b0
