GeneName	tSNE_1	tSNE_2	x	TIGIT_Opacity	TIGIT_Expr	TIGIT_Color
PTS3-55-0508	20.1339242843683	26.5121860942049	3	0.29406047330633933	340.292315242606	#ffc9c9
TTC52-0407	-41.8914748217634	-12.3531241127132	0	0.1010147191638792	1.77934809554139	#ffffff
PTH45-0407	-34.1524728166242	3.82594153197319	0	0.1	0.0	#ffffff
PTC2-72-0508	-28.3252747272476	-32.6970038657926	2	0.38987335800050493	508.303800565441	#ffadad
JTH-65-0508	-0.897860098363267	-2.08494621962429	6	0.1	0.0	#ffffff
TTC66-0407	-35.8611810072792	-19.4378302245665	2	0.8320919274537654	1283.75064081391	#ff3030
NTC2-47-0508	4.75111257881491	-5.15843500638333	5	0.1	0.0	#ffffff
NTC51-0508	-3.49922349225459	-25.3373462587606	7	0.4478860314945774	610.031198424294	#ff9d9d
TTH172-0508	24.8016996297239	-5.76864329074884	4	0.5398258395703224	771.251098695629	#ff8383
NTH2-85-0508	18.7906521803789	2.48012566217192	6	0.1	0.0	#ffffff
TTH1-41-0508	27.5811595683331	-8.28173818821482	4	0.6191493787953679	910.347898555112	#ff6c6c
NTH2-49-0508	-1.25859233987478	3.59262169241477	6	0.3112918574185442	370.508193285532	#ffc4c4
TTR106-1116	17.4705266678037	-31.3088413980867	0	0.10888817594475456	15.5857497355973	#fffdfd
TTH147-0407	-26.5694949943814	3.62888364364447	0	0.1	0.0	#ffffff
PTC103-0205	-22.8397142086663	-31.0149607259554	2	0.14684583633003184	82.1459302485478	#fff2f2
TTC142-0322	-1.90975885658017	2.96555842583948	5	0.1	0.0	#ffffff
TTC87-0322	-28.6448848949676	-12.4444454400773	0	0.2604246970165851	281.310720517984	#ffd2d2
JTC-22-0508	-29.8459761617094	-33.2712932604522	2	0.43892262843522534	594.313535122996	#ff9f9f
TTH171-0322	-36.0367472359304	-8.6310767059746	2	0.1	0.0	#ffffff
NTC15-0508	0.444110075147049	-18.0201463766855	7	0.1	0.0	#ffffff
PTC2-36-0508	16.6640196871337	32.749107677547	3	0.1	0.0	#ffffff
PTS1-7-0508	12.7007248008741	24.3268994065218	4	0.1	0.0	#ffffff
PTH10-0508	31.0772779203728	26.5573460695643	3	0.1	0.0	#ffffff
JTS-80-0508	5.29975592007572	-4.18373716752794	6	0.1	0.0	#ffffff
NTC14-0322	-40.3555261773265	12.2909132001886	5	0.1	0.0	#ffffff
TTC31-0508	-3.2273754581232	-28.952292226967	7	0.39556899469351703	518.291313035259	#ffacac
PTC10-0322	-19.6554895947461	31.4412506317036	0	0.15600722107386222	98.2107618558841	#fff0f0
NTC106-1116	-22.8187568475965	-13.8999067992769	0	0.1023621962589247	4.14219969843107	#ffffff
TTS125-0205	32.4588706101085	-12.4681735010348	4	0.29242813530366407	337.429949358792	#ffc9c9
PTC75-0407	-39.9227453036042	-27.417289281455	2	0.1	0.0	#ffffff
NTC152-1116	-39.5513098625002	20.148665971312	5	0.10024945903064755	0.437435762424557	#ffffff
NTC79-0407	-33.6559970034982	-14.2153565019736	0	0.3840126990538002	498.026915387112	#ffafaf
TTC2-21-0508	-1.93902608840286	-34.9527097171225	7	0.3518505670110609	441.629411096347	#ffb8b8
PTS86-0205	27.1756055390928	21.2482794056892	3	0.1	0.0	#ffffff
PTH3-73-0508	14.9499619180094	22.051411341541	3	0.6108805725627784	895.84823682988	#ff6f6f
TTS19-1202	47.5232221184403	8.81708135895269	10	0.1	0.0	#ffffff
TTC185-0322	-36.070265137966	13.8267851968533	5	0.1	0.0	#ffffff
TTH1-6-0508	27.9643470671896	-8.37281404942204	4	0.7408337367815814	1123.72598221346	#ff4a4a
TTR113-1116	16.750371483109	-17.6426038643953	8	1.0	1747.46271401369	#ff0000
PTH151-0322	-1.99019445524557	31.5276244554853	1	0.9818769908770787	1546.40436494772	#ff0606
TTC80-0322	-26.3574956207165	-11.0185039369393	0	0.9004183067927086	1403.56350853113	#ff1d1d
JTH-22-0508	14.5611248223118	-1.7572280445889	6	0.5955600400139548	868.9831086409	#ff7373
PTR47-0322	13.0484838084091	26.5294352701697	1	0.2948244763832254	341.632023280294	#ffc8c8
NTC86-0407	-14.8992896030839	-25.9646332766534	2	0.1	0.0	#ffffff
TTH69-0407	-39.0120164118433	-5.6855472070541	2	0.1	0.0	#ffffff
TTH4	46.3325481307465	10.627389033658	10	0.1	0.0	#ffffff
NTH2-95-0508	22.4600015737823	11.3843768414678	3	0.1	0.0	#ffffff
NTC116-1116	-35.3885314087262	-16.4045596083737	2	0.1007917519729986	1.3883667673235	#ffffff
TTH2	46.2240866648205	8.4748677870166	10	0.1	0.0	#ffffff
TTC2-31-0508	-6.0609534848985	-34.8372487498772	7	0.2176097146080082	206.233043736856	#ffdede
NTH36-1116	-38.6756096294059	19.1358346493032	0	0.10083293654051553	1.46058545046811	#ffffff
PTH158-0322	2.23649682433659	33.255874862383	1	0.46489531325714784	639.85761167055	#ff9898
TTH8	47.3785309108287	8.10572427521552	10	0.1	0.0	#ffffff
NTR8-0407	-21.0500721789667	18.388206103671	0	0.1	0.0	#ffffff
PTS2-8-0508	26.6783536839668	22.1944530181832	3	0.14271990133077006	74.9109485466175	#fff3f3
PTH136-0205	16.0537790565789	11.9245062885019	3	0.1	0.0	#ffffff
PTC2-79-0508	-20.1524159242	-26.9092855477818	2	0.2006018569235767	176.409127665005	#ffe3e3
JTH-15-0508	-1.60955467073419	2.64877680221804	6	0.1	0.0	#ffffff
PTH81-0407	-9.41121255114738	39.7692522465044	1	0.10194060857988715	3.40292989797572	#ffffff
TTR28-0322	28.1056569208434	-27.7018231259352	8	1.0	1650.95822947013	#ff0000
TTH104-0407	-27.7662342567924	16.1758746542402	0	0.1	0.0	#ffffff
TTH157-0407	-35.503578524287	-0.931982856537089	0	0.1	0.0	#ffffff
TTC2-28-0508	-6.24153907700095	-34.4821059578876	7	0.5369558978577061	766.218548308844	#ff8484
PTS101-0205	24.9583223046816	28.718130453974	3	0.2545843235950247	271.069406768497	#ffd4d4
PTR40-0322	9.88855836928822	28.5065033267639	1	0.691068975018811	1036.4616067885	#ff5858
TTC114-0407	-9.38135331355182	-25.4949460979659	7	0.1	0.0	#ffffff
NTH18-0508	0.994837022882145	4.00021320191594	6	0.1	0.0	#ffffff
PTC143-0205	2.84497133079225	33.6528627729453	1	0.1	0.0	#ffffff
