GeneName	tSNE_1	tSNE_2	x	LAYN_Opacity	LAYN_Expr	LAYN_Color
PTR5-1116	1.30365578450798	21.8378426140453	1	0.1	0.0	#ffffff
NTH190-0407	-34.6502049333793	-8.73302672760808	2	0.1	0.0	#ffffff
PTS45-1202	44.112419239005	12.8883418776098	10	0.1	0.0	#ffffff
TTH1-88-0508	-12.4964368381326	-16.8788004383594	2	0.1	0.0	#ffffff
NTC34-0508	3.59020163968447	-11.6185723597101	5	0.1	0.0	#ffffff
TTH111-0205	10.089484522821	-2.36827394796073	6	0.1	0.0	#ffffff
TTR73-1116	18.7092479490475	-25.595625722355	8	0.8989079955209727	335.245909215542	#ff1d1d
PTH3-54-0508	12.2836548759252	12.2891522757023	6	0.1	0.0	#ffffff
TTR8-1116	16.2599159707152	-16.8590011893213	8	1.0	1623.99545187279	#ff0000
NTR98-1116	0.880351098449469	26.4102674166889	1	0.1	0.0	#ffffff
TTH106-0322	9.48979110739172	9.98715632170708	6	0.1	0.0	#ffffff
JTC-51-0508	-4.68643888506331	-26.9878491577575	7	0.1	0.0	#ffffff
PTH90-0205	34.2432130965773	26.713602268425	3	0.1	0.0	#ffffff
TTH126-0407	-33.0761404799378	13.9761658747533	0	0.1	0.0	#ffffff
PTC169-0322	-7.62558029416681	-2.97038356343153	5	0.1	0.0	#ffffff
NTC2-23-0508	-3.35213421869769	-18.7036053136959	7	0.1	0.0	#ffffff
PTC2-60-0508	-17.4789546182904	-22.9187367641935	2	0.1	0.0	#ffffff
TTH118-0205	9.69462302073475	-0.509321723494458	6	0.1	0.0	#ffffff
NTH96-1116	-42.3829455027728	-7.39378986230628	2	0.1	0.0	#ffffff
PTH42-0205	13.7916381926703	14.1966714799862	3	0.1	0.0	#ffffff
PTC34-0322	16.5399868468142	33.5276505072783	1	0.1	0.0	#ffffff
PTR19-1116	9.2454468860769	28.9249956485661	1	1.0	497.432709271464	#ff0000
TTH78-0205	10.9744204210722	-0.856874495098854	6	0.1	0.0	#ffffff
TTH1-22-0508	29.3925489342796	4.16406229715481	4	0.1	0.0	#ffffff
NTH2-73-0508	8.96953397160472	3.02605623303469	6	0.1	0.0	#ffffff
TTC2-25-0508	-1.62986484958006	-42.6437810819975	7	1.0	377.672683366582	#ff0000
PTH139-0322	-6.21056593135591	45.2167370497844	1	0.1	0.0	#ffffff
NTH48-1116	-7.03160737041548	30.9071816910537	0	0.1	0.0	#ffffff
TTC85-0407	-43.9992966279168	7.05548074783663	0	0.1	0.0	#ffffff
TTS61-0205	34.3467558412839	0.33635542311282	4	1.0	469.301858291581	#ff0000
PTH17-1116	9.60131181918477	42.1773536782549	1	0.1	0.0	#ffffff
PTC90-0407	-41.3848057186668	-19.8382025348932	2	0.1	0.0	#ffffff
NTC100-0322	-36.0669621679661	11.5072178430324	5	0.1	0.0	#ffffff
TTS1-27-0508	43.7439330534848	-16.489423123668	4	0.42103654915360356	134.716626214557	#ffa5a5
JTH-41-0508	-3.23847598131828	-4.30582414443545	6	0.1	0.0	#ffffff
JTH-82-0508	20.5146627093035	2.90556813209839	4	0.1	0.0	#ffffff
TTR5-0322	27.8562457246822	-24.2831591983533	8	0.1	0.0	#ffffff
NTC80-0407	-31.6788658264362	-5.7591045108311	0	0.1	0.0	#ffffff
TTS20-0205	32.2879879557424	0.0262028347420483	4	0.1	0.0	#ffffff
PTS120-0205	22.6507300896107	26.4497439746853	3	0.1	0.0	#ffffff
NTC39-0508	0.984258943769239	-6.30238121619345	5	0.1	0.0	#ffffff
TTR152-0322	-27.718578581674	14.2616601691634	0	0.1	0.0	#ffffff
JTS-74-0508	39.2236972107837	-12.8032615059908	4	0.3600482865226733	109.124110340624	#ffb6b6
NTR90-0407	-11.3011281937678	20.6961978653541	0	0.1	0.0	#ffffff
TTS1-22-0508	27.3902955381728	-1.72638904483864	4	0.9536422920775213	358.214072154514	#ff0e0e
TTH1-3-0508	26.9188063455042	15.5217489076653	3	0.1	0.0	#ffffff
TTR108-0508	11.1693586852159	5.78347002488873	6	0.1	0.0	#ffffff
TTH75-0407	-29.5647787392697	13.9642455803372	0	0.1	0.0	#ffffff
PTR42-1116	-3.63028318179564	19.5981410447024	1	0.1	0.0	#ffffff
TTC121-0205	0.0880538228299385	-29.5333861395255	7	0.1	0.0	#ffffff
TTH192-0322	6.91414956259557	37.380117673516	1	0.1	0.0	#ffffff
TTH148-0508	27.6446474699523	-1.29708403713298	4	0.6518054445824286	231.554220281009	#ff6363
TTH27-0407	-31.7504227784525	13.472420751174	0	0.1	0.0	#ffffff
NTC1-4-0508	-3.68551230795818	-28.2089265806377	7	1.0	423.334907490699	#ff0000
TTR174-0407	23.3030803061605	23.4598294610646	3	0.1	0.0	#ffffff
TTH101-0322	14.5863785580256	12.5754789573417	3	0.1	0.0	#ffffff
TTS38-1202	48.1964173983326	12.1005863448247	10	0.1	0.0	#ffffff
TTS7-0205	42.1353917544261	-16.2178004118757	4	0.9806849064570179	369.561969404319	#ff0606
PTC54-0407	-42.3809196912396	-16.6817585201054	2	0.1	0.0	#ffffff
TTS232-0205	41.6789880024179	-16.9290789968681	4	0.8178989189302999	301.252055494449	#ff3434
NTR8-1116	12.5485490441074	-21.8246752448952	0	0.1	0.0	#ffffff
NTR93-1116	20.5810805943507	-24.7658010957644	8	0.1	0.0	#ffffff
PTR107-0407	2.86265549283031	20.9833282005809	1	0.1	0.0	#ffffff
TTH76-1116	-11.9838041943963	11.6881970457673	0	0.1	0.0	#ffffff
PTR66-0407	-3.34303646021372	34.0412559489025	1	0.1	0.0	#ffffff
TTC136-0322	-26.1935156022164	-14.4069036553757	0	0.1	0.0	#ffffff
TTC12-0508	0.945802306369433	-30.5466926927618	7	0.2969604479092852	82.6505490107031	#ffc8c8
