GeneName	tSNE_1	tSNE_2	x	FOXP3_Opacity	FOXP3_Expr	FOXP3_Color
PTH240-0205	27.0747024164999	25.9791337400481	3	0.1	0.0	#ffffff
TTC149-0322	-24.2960603470405	-8.88202769813126	0	0.1	0.0	#ffffff
TTH154-0407	27.3491881593347	-39.0772535644916	9	0.1	0.0	#ffffff
PTC71-0407	14.2791095907172	20.5780031931283	3	0.1	0.0	#ffffff
TTR141-0508	25.9549395637102	-14.3603926496517	4	1.0	825.134932856617	#ff0000
TTR163-1116	27.8047211925566	-38.6795637055536	9	0.1	0.0	#ffffff
TTH179-0508	26.3103464033412	-5.49733097194106	4	0.1	0.0	#ffffff
TTC19-0205	6.96194735438787	-35.5980135499763	11	0.1	0.0	#ffffff
NTC113-1116	28.5593458592845	-39.8070097203483	9	0.10926599865357675	7.42590273735258	#fffdfd
TTH22-0205	1.73739064911587	1.11118100788071	6	0.1	0.0	#ffffff
JTH-72-0508	2.6486496152384	5.82950654124693	6	0.1	0.0	#ffffff
NTH2-13-0508	3.37263556857658	-5.1248457781111	6	0.1	0.0	#ffffff
TTC24-0508	-3.7856826354128	-41.5941841217745	7	0.1	0.0	#ffffff
PTH38-0407	0.730831811273418	40.7173973627825	1	0.1	0.0	#ffffff
TTS21-0205	37.6415184830354	-17.2261351595702	4	1.0	1787.7131804534	#ff0000
TTS132-0205	42.2275161268129	-16.2164989984217	4	1.0	1935.84366247136	#ff0000
PTC100-0205	-25.9314364240763	-31.0204731597065	2	0.1	0.0	#ffffff
TTC78-1116	8.85563841078179	-39.320968596271	11	0.1	0.0	#ffffff
TTH1-80-0508	-7.44927595299112	-6.59984902679744	6	0.1	0.0	#ffffff
NTC151-0322	-40.5453923555142	12.3936480858524	5	0.1	0.0	#ffffff
NTC43-0407	-30.9815611129325	-11.4371813000356	0	0.1	0.0	#ffffff
PTC45-0205	-39.9984827053398	-29.2293003651481	2	0.1	0.0	#ffffff
PTR69-0407	-6.51257964625566	31.8131597255854	1	0.1	0.0	#ffffff
PTR90-0322	-3.07417257554979	17.1493652454298	1	0.1	0.0	#ffffff
NTH11-0508	-1.57702372668181	-3.6500230139057	6	0.1	0.0	#ffffff
PTC125-0322	-36.4628844937816	9.23636269269038	5	0.11225796678292772	9.82370843023845	#fffcfc
JTC-79-0508	-5.37749191989036	-26.3648763168917	7	0.1	0.0	#ffffff
TTC65-0205	-20.5697867133855	-31.2447407121392	2	0.11890177885148429	15.1481536488125	#fffafa
PTS3-62-0508	19.068651002995	25.9975350153588	3	0.3977280078374281	238.603448051772	#ffabab
TTC2-24-0508	-3.80135722376417	-30.8368792577636	7	0.1	0.0	#ffffff
TTR180-0407	-37.9002869993875	18.8327060203769	0	0.10054676824772298	0.438187828345543	#ffffff
NTC109-1116	-31.1506878804545	-11.33571332411	2	0.1	0.0	#ffffff
PTR33-0322	4.54587136121794	37.5100198642442	1	0.1055045009426745	4.41138512384609	#fffefe
TTR65-1116	19.7950124818118	-35.3379637946253	9	0.10070992824661493	0.568946565498007	#ffffff
NTH24-0322	0.524975929574396	33.84892467068	1	0.1	0.0	#ffffff
TTC171-0322	-30.8798852552625	-11.073670150272	0	0.1	0.0	#ffffff
NTC102-1116	-44.9684088477457	8.98783395591814	5	0.12522971283413112	20.2194496893515	#fff8f8
TTR155-0322	24.0577716687778	-11.4386070150904	4	0.360775590518835	208.989256729608	#ffb6b6
TTH143-0407	-24.4956316192854	24.8707260153891	0	0.1	0.0	#ffffff
NTC44-0508	-1.8457830434353	-5.92702422599582	6	0.14257060458103593	34.1166862750452	#fff3f3
PTC1-1202	41.100333643343	14.8356684598734	10	0.1	0.0	#ffffff
PTH2-7-0508	36.3059601485433	24.1899155720973	3	0.1	0.0	#ffffff
PTH143-0205	39.9534404306504	17.572205059127	10	0.1	0.0	#ffffff
PTR45-1116	1.40837390165544	18.5347590323013	1	0.8392278253297035	592.42766342558	#ff2e2e
NTC158-0322	-42.5967350374963	11.7703540805938	5	0.1	0.0	#ffffff
TTC124-0205	0.432100931065455	-41.5448725125759	7	0.10313645263094265	2.51359762163393	#ffffff
PTS2-1-0508	20.5315879082641	19.1129705283462	3	0.1	0.0	#ffffff
PTC107-0205	31.6395932293059	17.8394199561038	3	0.1	0.0	#ffffff
TTR101-0322	23.3183526827023	-24.2709094537474	8	1.0	1391.67136827962	#ff0000
PTC154-0322	-12.0000445315215	24.2669518712977	5	0.1	0.0	#ffffff
PTH42-0407	-5.68856296776502	40.0507970159817	1	0.1	0.0	#ffffff
PTH144-0322	4.4709774057113	46.765369114405	1	0.10981634521977374	7.86695828087322	#fffdfd
PTH95-0407	-15.4074155918182	30.8541558084018	0	0.1	0.0	#ffffff
NTC104-0322	-45.0439668924289	9.27129447471533	5	0.1	0.0	#ffffff
TTC178-0322	9.88971486854328	-35.4103871759611	11	0.1	0.0	#ffffff
TTS28-0205	43.9450981566322	-15.8905051193559	4	0.6481227704717087	439.273362087094	#ff6464
PTR4-1116	3.23211314659913	27.5525974371457	1	0.5732375085425135	379.259251105897	#ff7979
TTR108-0322	24.5819047467559	-22.8597535793811	8	0.5994097862923374	400.234085686749	#ff7272
TTC41-0322	9.01623444473307	-32.6573204941102	11	0.1975326407529968	78.1640415703419	#ffe4e4
TTC94-0322	12.5826996523055	-31.4530107189774	11	1.0	844.939051277053	#ff0000
TTC12-0205	-1.21769685600117	-44.4394677230921	7	0.1	0.0	#ffffff
TTC100-0407	-15.9038651276727	-17.8049208725422	2	0.1	0.0	#ffffff
TTH1-91-0508	26.682787963301	-39.8090023074183	9	0.1	0.0	#ffffff
NTR30-0407	-6.39497960209033	28.6635133077169	0	0.10122428140045593	0.981156477874746	#ffffff
TTC37-0322	8.14068765969077	-37.1789966255698	11	0.12428996016631474	19.4663185731843	#fff9f9
TTS1-73-0508	27.9484753419493	-1.41978727772376	4	0.3380521399533758	190.7783611678	#ffbcbc
TTC92-1116	9.60911166515525	-37.6044471911054	11	0.1	0.0	#ffffff
TTH51-0322	-23.705039529071	22.6674034035943	0	0.1	0.0	#ffffff
PTC17-0322	-10.8499929141072	-2.64868631495883	5	0.1	0.0	#ffffff
PTC3-0407	-39.6083501094526	-3.7605907673469	0	0.1	0.0	#ffffff
TTR148-0508	28.8507826842708	-1.57552747392302	4	0.46023875796893177	288.700449774982	#ff9999
TTR81-0322	25.7577199684028	-27.3696219463789	8	1.0	1063.93398684379	#ff0000
NTC72-0407	2.91329455368579	-10.7970342168812	5	0.1	0.0	#ffffff
PTC28-0407	1.16645166378676	33.481765995548	1	0.1	0.0	#ffffff
PTR86-0322	-0.58589399486277	19.4834643478223	1	0.6130809137701517	411.190321140227	#ff6e6e
TTC23-0407	-28.0725830179863	-0.576905574462791	0	0.1	0.0	#ffffff
TTC44-0322	-36.9135263521125	2.3062441766096	0	0.12850073431031622	22.840892692105	#fff7f7
PTH101-0322	-3.54970237876235	41.2308962916258	1	0.1	0.0	#ffffff
PTH115-0322	-28.127948698538	-0.38546040295901	0	0.1	0.0	#ffffff
PTC38-0205	-20.6697207556222	-25.1939229130674	2	0.1	0.0	#ffffff
TTC127-0205	1.74953896135395	-31.6731605455643	7	0.1	0.0	#ffffff
PTR48-1116	3.79878504313003	17.2346329836425	1	0.10836893909370754	6.70698648339547	#fffdfd
PTC2-86-0508	33.4345962346881	17.6626278739541	3	0.1	0.0	#ffffff
NTC36-0407	-0.37254961011648	-5.30128943136288	5	0.10636334911140378	5.09967822700505	#fffefe
TTR74-0322	26.2236431116655	-27.3661302460135	8	0.8021851312345976	562.741123014355	#ff3939
NTR66-0407	-5.82438461431538	32.5319468483754	1	0.1	0.0	#ffffff
PTS3-55-0508	20.1339242843683	26.5121860942049	3	0.3509844006685565	201.142458318618	#ffb8b8
TTC52-0407	-41.8914748217634	-12.3531241127132	0	0.1	0.0	#ffffff
PTH45-0407	-34.1524728166242	3.82594153197319	0	0.1	0.0	#ffffff
PTC2-72-0508	-28.3252747272476	-32.6970038657926	2	0.1	0.0	#ffffff
JTH-65-0508	-0.897860098363267	-2.08494621962429	6	0.1	0.0	#ffffff
TTC66-0407	-35.8611810072792	-19.4378302245665	2	0.1	0.0	#ffffff
NTC2-47-0508	4.75111257881491	-5.15843500638333	5	0.1	0.0	#ffffff
NTC51-0508	-3.49922349225459	-25.3373462587606	7	0.1	0.0	#ffffff
TTH172-0508	24.8016996297239	-5.76864329074884	4	0.1	0.0	#ffffff
NTH2-85-0508	18.7906521803789	2.48012566217192	6	0.1	0.0	#ffffff
TTH1-41-0508	27.5811595683331	-8.28173818821482	4	0.1	0.0	#ffffff
NTH2-49-0508	-1.25859233987478	3.59262169241477	6	0.1	0.0	#ffffff
TTR106-1116	17.4705266678037	-31.3088413980867	0	0.1	0.0	#ffffff
TTH147-0407	-26.5694949943814	3.62888364364447	0	0.1	0.0	#ffffff
PTC103-0205	-22.8397142086663	-31.0149607259554	2	0.1	0.0	#ffffff
TTC142-0322	-1.90975885658017	2.96555842583948	5	0.1	0.0	#ffffff
TTC87-0322	-28.6448848949676	-12.4444454400773	0	0.1	0.0	#ffffff
JTC-22-0508	-29.8459761617094	-33.2712932604522	2	0.1	0.0	#ffffff
TTH171-0322	-36.0367472359304	-8.6310767059746	2	0.1	0.0	#ffffff
NTC15-0508	0.444110075147049	-18.0201463766855	7	0.1	0.0	#ffffff
PTC2-36-0508	16.6640196871337	32.749107677547	3	0.1	0.0	#ffffff
PTS1-7-0508	12.7007248008741	24.3268994065218	4	0.1	0.0	#ffffff
PTH10-0508	31.0772779203728	26.5573460695643	3	0.1	0.0	#ffffff
JTS-80-0508	5.29975592007572	-4.18373716752794	6	0.1	0.0	#ffffff
NTC14-0322	-40.3555261773265	12.2909132001886	5	0.1	0.0	#ffffff
TTC31-0508	-3.2273754581232	-28.952292226967	7	0.1	0.0	#ffffff
PTC10-0322	-19.6554895947461	31.4412506317036	0	0.1	0.0	#ffffff
NTC106-1116	-22.8187568475965	-13.8999067992769	0	0.1	0.0	#ffffff
TTS125-0205	32.4588706101085	-12.4681735010348	4	1.0	882.852402981705	#ff0000
PTC75-0407	-39.9227453036042	-27.417289281455	2	0.1	0.0	#ffffff
NTC152-1116	-39.5513098625002	20.148665971312	5	0.1	0.0	#ffffff
NTC79-0407	-33.6559970034982	-14.2153565019736	0	0.1	0.0	#ffffff
TTC2-21-0508	-1.93902608840286	-34.9527097171225	7	0.1	0.0	#ffffff
PTS86-0205	27.1756055390928	21.2482794056892	3	0.1	0.0	#ffffff
PTH3-73-0508	14.9499619180094	22.051411341541	3	0.1	0.0	#ffffff
TTS19-1202	47.5232221184403	8.81708135895269	10	0.1	0.0	#ffffff
TTC185-0322	-36.070265137966	13.8267851968533	5	0.11615376462835349	12.9458560762833	#fffbfb
TTH1-6-0508	27.9643470671896	-8.37281404942204	4	0.2150195577502343	92.1783048626766	#ffdfdf
TTR113-1116	16.750371483109	-17.6426038643953	8	1.0	1036.62954088678	#ff0000
PTH151-0322	-1.99019445524557	31.5276244554853	1	0.1025538602910757	2.0466998577638	#ffffff
TTC80-0322	-26.3574956207165	-11.0185039369393	0	0.1	0.0	#ffffff
JTH-22-0508	14.5611248223118	-1.7572280445889	6	0.12340392023185864	18.7562336033207	#fff9f9
PTR47-0322	13.0484838084091	26.5294352701697	1	0.1	0.0	#ffffff
NTC86-0407	-14.8992896030839	-25.9646332766534	2	0.1	0.0	#ffffff
TTH69-0407	-39.0120164118433	-5.6855472070541	2	0.1	0.0	#ffffff
TTH4	46.3325481307465	10.627389033658	10	0.1	0.0	#ffffff
NTH2-95-0508	22.4600015737823	11.3843768414678	3	0.1	0.0	#ffffff
NTC116-1116	-35.3885314087262	-16.4045596083737	2	0.1	0.0	#ffffff
TTH2	46.2240866648205	8.4748677870166	10	0.1	0.0	#ffffff
TTC2-31-0508	-6.0609534848985	-34.8372487498772	7	0.1	0.0	#ffffff
NTH36-1116	-38.6756096294059	19.1358346493032	0	0.1	0.0	#ffffff
PTH158-0322	2.23649682433659	33.255874862383	1	0.1	0.0	#ffffff
