GeneName	tSNE_1	tSNE_2	x	CCR7_Opacity	CCR7_Expr	CCR7_Color
TTH168-0407	-39.0354848863337	-26.9753719397542	2	0.10035979112256083	1.13643621192095	#ffffff
TTR29-1116	36.221204358	-15.1456559031709	8	0.1	0.0	#ffffff
PTC141-1116	-42.3602315063855	5.95675954731781	5	0.10029339454848755	0.926715998183316	#ffffff
PTH45-0322	25.4582234573465	32.4188502644132	3	0.9905467344119099	2812.88084650437	#ff0303
TTC2-60-0508	-3.83712360836281	-38.0126512040474	7	0.1	0.0	#ffffff
TTS17-0205	40.3353240470061	-15.9333926627591	4	0.1	0.0	#ffffff
PTC18-0508	-12.2813910241935	-14.3146658102231	2	0.1	0.0	#ffffff
NTR73-0407	-16.1474758933745	24.3656435085825	0	0.1008502580403176	2.68562498045098	#ffffff
NTC127-1116	-38.848090832564	17.7086561244019	5	0.1	0.0	#ffffff
NTH47-1116	-17.9531441086007	15.7075404301841	0	0.1	0.0	#ffffff
PTC31-0205	-6.02380402214857	-11.3550986153921	5	0.1	0.0	#ffffff
TTH132-0322	25.5569603947139	31.0130309274032	3	0.926010394717459	2609.03636893195	#ff1515
TTC147-1116	19.2601138515141	-37.7044742895642	9	0.1	0.0	#ffffff
PTR106-0407	4.08880351658165	26.928125289793	1	0.1	0.0	#ffffff
TTC2-42-0508	-4.78022520106853	-40.953001298138	7	0.10050999290788659	1.61086355944542	#ffffff
PTC123-1116	-40.9281331227201	-23.4377880638374	2	0.10199491369685385	6.30113424874331	#ffffff
TTR227-0407	-13.0528586870714	29.9956148754379	0	0.1	0.0	#ffffff
TTC51-0205	1.48968000853523	-43.9576062012206	7	0.1	0.0	#ffffff
NTH148-0407	-29.2286863041245	7.90175924168214	0	0.1	0.0	#ffffff
TTC167-0322	-35.492854582654	10.978674247895	5	0.1	0.0	#ffffff
NTC115-0322	-39.7411804639859	12.0638525991559	5	0.1	0.0	#ffffff
NTH2-74-0508	14.3286742565296	8.01337837049871	3	1.0	4821.38707475149	#ff0000
TTR2-1116	15.1158537104501	-31.3824940183328	0	0.1	0.0	#ffffff
NTH65-1116	-18.356034420131	18.0703447839664	0	0.1	0.0	#ffffff
PTC111-0322	-18.6692401549705	-9.83061506707964	0	0.1	0.0	#ffffff
TTC88-0508	-3.40731635768629	-29.6175640984049	7	0.1	0.0	#ffffff
TTC9-1116	11.1749022733343	-40.4698392452753	11	0.1	0.0	#ffffff
NTC4-0322	-15.4828484696362	2.26635943688099	5	0.1	0.0	#ffffff
NTH112-0322	-12.0560430446201	24.1968994806771	0	0.35500116634209655	805.446664305196	#ffb7b7
NTH25-0508	2.18402790544689	2.63374229312417	6	0.1	0.0	#ffffff
TTR109-0508	33.7743415597465	-37.5138875621687	9	0.10027862330777673	0.880059558415405	#ffffff
TTH115-0508	9.17169651124647	10.297836733602	6	0.1	0.0	#ffffff
PTH3-87-0508	16.7649219234233	11.1671771773502	3	0.1	0.0	#ffffff
TTR152-0508	41.192430355112	-8.27421864729635	4	0.1	0.0	#ffffff
JTC-43-0508	-0.307667740892937	-6.73967815924872	5	0.1	0.0	#ffffff
TTR149-1116	24.1679014032025	-14.4528713496125	8	0.10083842642843979	2.64825365208796	#ffffff
PTS3-44-0508	22.134928034648	21.7263093565713	3	0.4325528519044697	1050.40141233039	#ffa1a1
PTR27-1116	0.425585317950718	20.3157267178056	1	0.10029430176451172	0.929581530647164	#ffffff
TTH157-0322	-19.5148020022618	17.2000979851466	0	0.1	0.0	#ffffff
PTH27-0322	-44.7143986559745	-12.4859494514558	2	0.1	0.0	#ffffff
PTR84-1116	-1.1428744610887	25.9611911879909	1	0.1	0.0	#ffffff
TTH86-0205	12.0239877566141	1.56325227254327	6	0.10416711930326687	13.1622627093216	#fffefe
JTS-23-0508	24.9268501405315	5.84451897896169	4	0.30673101232660727	652.980559561519	#ffc5c5
PTS65-0205	19.6364031283783	26.3866045453081	3	0.5237664311391619	1338.50861665337	#ff8787
NTH180-0322	-12.2023928210736	23.8633504704783	0	0.3355816974947613	744.10833150447	#ffbdbd
TTR47-1116	23.1753578361602	-13.8258976954459	8	0.10067593995512757	2.13502389003864	#ffffff
TTH45-1116	-20.7617500332166	-8.85005528567128	0	0.10104193038580181	3.29104123608765	#ffffff
TTR220-0407	-23.9235384358601	13.1139860730589	0	0.1	0.0	#ffffff
NTC190-0322	-14.8269643789702	-26.1927080351864	2	0.1	0.0	#ffffff
PTR29-0322	3.56649302304756	17.121233447666	1	0.1	0.0	#ffffff
PTC97-1116	-41.6320460304633	-21.3993851268791	2	0.1	0.0	#ffffff
TTC35-1116	36.2034027563968	-36.1671405791683	9	0.10018180934565143	0.574262985126922	#ffffff
PTC2-43-0508	23.0601541243408	26.2201154951281	3	0.7475597256043993	2045.38209925963	#ff4848
NTR67-1116	12.9103841480733	-15.997111326168	0	0.1	0.0	#ffffff
JTH-33-0508	9.33808708271492	7.38456709219673	6	0.1	0.0	#ffffff
NTC2-15-0508	26.8459790918949	-39.9709946239838	9	0.1	0.0	#ffffff
NTH2-56-0508	17.0138985326713	9.7876260976086	3	0.1	0.0	#ffffff
JTH-58-0508	0.21946044626519	-0.271556563922116	6	0.1	0.0	#ffffff
PTH25-1116	6.91267057895397	44.2152777374051	1	1.0	9599.47376658457	#ff0000
TTC2-1116	11.355646473253	-41.6137631040932	11	0.1	0.0	#ffffff
TTH20-1116	-16.5370076112706	27.5551596752405	0	0.1	0.0	#ffffff
NTH119-0322	-43.3423080832741	-12.6855376450872	2	0.1	0.0	#ffffff
TTR49-0322	17.5566667813103	-17.1056575534161	8	0.3761074531143067	872.112980073098	#ffb1b1
TTH19-0407	5.00233663852458	35.8118086010709	0	0.24679864150984585	463.678177730438	#ffd6d6
TTC30-0322	9.72189952685278	-34.087320853819	11	0.1	0.0	#ffffff
TTC2-35-0508	-3.16620893460584	-34.975863232883	7	0.1	0.0	#ffffff
NTH1-7-0508	15.4393890268138	15.6193629167584	3	0.8651557890320006	2416.82101611586	#ff2727
NTC22-0407	-30.9147685764452	-20.6842642413645	0	0.1	0.0	#ffffff
PTS22-0205	29.2636189924688	26.2070314314799	3	0.6558100701482765	1755.58164462506	#ff6262
TTS1-30-0508	37.3568739395875	-12.425419277938	4	0.1	0.0	#ffffff
PTH3-23-0508	17.7056946168857	22.3717246015556	3	0.2626162122389465	513.639555413213	#ffd1d1
PTC46-0407	-17.2922384232451	-5.63717079012285	0	0.1	0.0	#ffffff
TTC121-0407	-17.4486137325612	-28.9799608398571	2	0.1	0.0	#ffffff
TTC58-0205	2.35554667077243	-29.6240366896919	7	0.1	0.0	#ffffff
TTS1-44-0508	37.1180997431911	-9.81199991740012	4	0.1	0.0	#ffffff
PTH82-1116	-3.39752731522334	33.9323708421362	1	0.3990617445424428	944.61640320442	#ffabab
PTC24-0205	-6.83598911888912	-11.5960474001402	5	0.10063407970564794	2.00280410926669	#ffffff
TTC113-0205	1.58810064268415	-29.4849674515603	7	0.1	0.0	#ffffff
TTR40-1116	27.1763272468539	-21.4843023572402	8	0.10028765576236444	0.908589468778251	#ffffff
PTR34-1116	18.3884563365641	-12.4231740590938	8	0.1	0.0	#ffffff
TTR177-0508	43.2844383327379	-18.3941883052248	4	0.1	0.0	#ffffff
TTR60-0322	26.6871919412438	-20.3682046832293	8	0.1	0.0	#ffffff
