""	"HSC.Prog_Normal.derived.combined_PMID_30827681"	"GMP_Normal.derived.combined_PMID_30827681"	"Myeloid_Normal.derived.combined_PMID_30827681"	"HSC.Prog.like_Tumor.derived.combined_PMID_30827681"	"GMP.like_Tumor.derived.combined_PMID_30827681"	"Myeloid.like_Tumor.derived.combined_PMID_30827681"	"HSC.like_Tumor.derived.per.cell.type_PMID_30827681"
"S520"	0.378115292455231	0.384223733751059	0.429530526036365	0.351138751041004	0.366276737526085	0.447862755470357	0.26032006483838
"S521"	0.332252643588286	0.340095304159621	0.398479768549447	0.265591707822492	0.345745824173063	0.427144808774512	0.215054165541756
"S522"	0.32060859372134	0.319099780568184	0.38685724106253	0.25917548660398	0.323960995820041	0.378618186078667	0.196017433245131
"S523"	0.37444810952385	0.350263164891122	0.392788807444791	0.334695398570589	0.332119055997242	0.401104067341272	0.256350238914755
"S524"	0.376257429862762	0.422799891719874	0.442164573183149	0.340564458940831	0.396938054057688	0.457876552258171	0.228380943847252
"S525"	0.374203846594561	0.396214328466967	0.365462339505101	0.360315688739014	0.367294454616065	0.391451004931024	0.236648635215815
"S526"	0.365155975320085	0.386767823906715	0.358979182871399	0.323244386620676	0.36085280273144	0.406692191447365	0.231529363910319
"S527"	0.347076828463599	0.336640456494187	0.376424514643903	0.274646376596367	0.324985948116755	0.394501220345706	0.210194024737126
"S528"	0.35098059772134	0.431008317568184	0.505850266062529	0.30535685260398	0.396570565820041	0.514758630078667	0.197479610245131
"S529"	0.37659587345314	0.399972222315277	0.384168265384481	0.335301428402164	0.382174860378418	0.41755524375152	0.217853245613694
"S530"	0.374522594654813	0.436889799863903	0.478161423305989	0.340885934713236	0.411334988496552	0.48798240492659	0.241847895393443
"S531"	0.352041905594561	0.380091990466967	0.429147054505101	0.314307161739014	0.357672288616065	0.444089415931024	0.216418406215815
"S532"	0.334989299066527	0.370739006704282	0.416732210756541	0.276964168890744	0.353311201323489	0.434001260152078	0.201397611851687
"S533"	0.370208377326361	0.389013980214061	0.388862515827052	0.326574408537198	0.370318673174442	0.421698858603876	0.227301331584378
"S534"	0.374036922987449	0.412550384385309	0.410704441088694	0.342452964166956	0.384278031113996	0.421272825686977	0.240315211651881
"S535"	0.382756462330544	0.372123319085625	0.359581320130821	0.340138743814879	0.343057851469777	0.396563441041551	0.252236863033751
"S536"	0.365531794532218	0.34639367563425	0.466869521052329	0.337924666125952	0.338484323587911	0.47533941221662	0.2462900078135
"S537"	0.382554842858578	0.41460199984831	0.44081849087938	0.347078437663149	0.402742480762353	0.455294498820496	0.254458249397879
"S538"	0.327134378397072	0.395797095789906	0.458740816887362	0.262214162705623	0.376451470793266	0.484004260193628	0.192984660885439
"S539"	0.390677713989541	0.438084243821091	0.429914689740578	0.362847082805797	0.412296066261664	0.456021629405814	0.236023420876567
"S540"	0.351496867654813	0.391642307863903	0.460460066305989	0.297747879713236	0.380538285496552	0.46484717392659	0.206729956393443
"S541"	0.346576030465691	0.381385520929969	0.384056124295788	0.284286883235208	0.379074224264422	0.426699392064543	0.208074869961813
"S542"	0.385199751053976	0.44037946108959	0.470526702845235	0.3590291340577	0.426269445437485	0.483983874839055	0.267122504503569
"S543"	0.38857653872134	0.371139022568184	0.42040992906253	0.35604266160398	0.377664498820041	0.427745924078667	0.246229747245131
"S544"	0.376622339729708	0.412510901311312	0.449802299670067	0.347412073159343	0.39201312241071	0.464907349954016	0.251780752143877
"S545"	0.337749956053976	0.34800529808959	0.442283966845235	0.2534402260577	0.348775059437485	0.462139820839055	0.185156766503569
"S546"	0.359959001390796	0.41931936548256	0.494783855931709	0.325648378789101	0.406045727350264	0.504375496037117	0.237024975211379
"S547"	0.333047021521759	0.38155398745534	0.463803151792906	0.250391923931748	0.385878949849574	0.477321666622435	0.191112437690068
"S548"	0.343613411213223	0.345437463692708	0.451378550930556	0.265233659867717	0.341034573984325	0.464237746060274	0.212077487302681
"S549"	0.382282524590378	0.430435715595403	0.407329944201332	0.354469275461333	0.40852514332073	0.432823270493349	0.244885654766442
